Transaction ID,Customer ID,Product ID,Quantity,Price per Unit,Age,Gender,Location,Income Group,Product Name,Product Category,Month,Day of Week,Price Range,Age Group,Season,Is Holiday,Customer Segment,Product Return Rate,Location_Chicago,Location_Houston,Location_Los Angeles,Location_New York,Total Sales,Price_Quantity
1597,1270,46,1,662.76,55.0,0,2,1,6,0,10,5,0,0,0,False,Premium,0.02,0,0,1,0,662.76,662.76
863,72,50,3,210.84,42.0,2,4,3,4,2,10,6,1,1,0,False,New,0.02,0,0,0,0,632.52,632.52
535,190,26,2,756.48,35.0,1,2,0,3,1,1,1,0,0,3,True,Regular,0.02,0,0,1,0,1512.96,1512.96
1646,480,5,2,759.62,65.0,0,1,0,6,0,12,5,0,1,3,False,Regular,0.02,0,1,0,0,1519.24,1519.24
1424,440,42,2,708.3,42.0,2,2,0,4,2,5,4,0,1,1,False,Regular,0.05,0,0,1,0,1416.6,1416.6
1718,1343,24,2,25.34,55.0,0,1,0,6,0,2,4,1,0,3,False,Premium,0.05,0,1,0,0,50.68,50.68
1921,1192,30,3,855.72,42.0,2,0,0,2,0,9,4,0,1,0,False,Premium,0.05,1,0,0,0,2567.16,2567.16
1056,1472,1,2,275.57,33.0,1,0,1,4,2,5,3,1,0,1,False,Premium,0.02,1,0,0,0,551.14,551.14
1895,930,19,3,153.48,67.0,0,1,2,8,2,8,2,1,1,2,False,Premium,0.02,0,1,0,0,460.44,460.43999999999994
399,65,24,1,531.23,34.0,1,1,1,6,0,2,2,2,0,3,False,New,0.05,0,1,0,0,531.23,531.23
539,292,27,3,134.47,65.0,1,2,0,6,0,1,1,1,1,3,True,Regular,0.05,0,0,1,0,403.41,403.40999999999997
193,29,10,1,961.17,61.0,1,3,2,3,1,7,6,0,0,2,False,New,0.02,0,0,0,1,961.17,961.17
888,785,44,4,512.67,25.0,0,2,0,6,0,11,3,2,0,0,False,Premium,0.02,0,0,1,0,2050.68,2050.68
766,948,30,4,64.88,40.0,0,3,2,2,0,7,4,1,0,2,False,Premium,0.05,0,0,0,1,259.52,259.52
1320,123,30,4,66.52,42.0,2,4,3,2,0,1,0,1,1,3,False,New,0.05,0,0,0,0,266.08,266.08
1114,1204,13,1,33.36,21.0,0,1,2,8,2,7,5,1,2,2,False,Premium,0.02,0,1,0,0,33.36,33.36
608,222,8,2,654.45,57.0,1,2,1,6,0,1,4,0,0,3,False,Regular,0.02,0,0,1,0,1308.9,1308.9
1400,243,42,2,290.71,42.0,2,4,3,4,2,4,1,1,1,1,False,Regular,0.05,0,0,0,0,581.42,581.42
142,19,24,2,977.69,19.0,1,2,0,6,0,5,1,0,2,1,False,New,0.05,0,0,1,0,1955.38,1955.38
3,67,34,4,930.79,67.0,1,3,1,3,1,1,5,0,1,3,False,New,0.02,0,0,0,1,3723.16,3723.16
713,749,10,1,646.63,59.0,0,2,0,3,1,5,3,0,0,1,False,Premium,0.02,0,0,1,0,646.63,646.63
1818,919,49,1,219.92,29.0,1,2,2,3,1,6,2,1,0,2,False,Premium,0.02,0,0,1,0,219.92,219.92
1126,64,2,4,799.36,42.0,2,4,3,3,1,7,3,0,1,2,False,New,0.02,0,0,0,0,3197.44,3197.44
340,20,47,4,600.52,41.0,1,0,0,3,1,12,6,0,0,3,False,New,0.02,1,0,0,0,2402.08,2402.08
809,1473,39,4,434.6,19.0,0,1,2,6,0,8,0,2,2,2,False,Premium,0.05,0,1,0,0,1738.4,1738.4
1750,813,47,2,27.81,25.0,1,3,2,3,1,3,1,1,0,1,False,Premium,0.02,0,0,0,1,55.62,55.62
1132,281,14,4,111.88,42.0,2,4,3,9,3,7,2,1,1,2,False,Regular,0.02,0,0,0,0,447.52,447.52
496,56,7,1,866.04,37.0,0,2,2,7,3,5,0,0,0,1,False,New,0.02,0,0,1,0,866.04,866.04
985,447,15,3,610.72,48.0,0,0,2,4,2,2,2,0,0,3,False,Regular,0.05,1,0,0,0,1832.16,1832.16
1246,808,9,3,717.42,40.0,1,0,2,8,2,11,1,0,0,0,False,Premium,0.05,1,0,0,0,2152.26,2152.2599999999998
1678,1357,4,2,84.87,35.0,1,1,2,7,3,1,2,1,0,3,False,Premium,0.02,0,1,0,0,169.74,169.74
272,46,7,4,588.82,26.0,1,2,0,7,3,9,0,2,0,0,False,New,0.02,0,0,1,0,2355.28,2355.28
185,26,11,2,498.34,50.0,1,1,2,3,1,7,5,2,0,2,True,New,0.02,0,1,0,0,996.68,996.68
1344,616,17,3,613.59,20.0,1,2,1,4,2,2,1,0,2,3,True,Regular,0.02,0,0,1,0,1840.77,1840.77
245,25,45,4,672.7,38.0,1,3,1,3,1,9,2,0,0,0,False,New,0.05,0,0,0,1,2690.8,2690.8
807,752,48,3,191.73,59.0,0,1,2,7,3,8,6,1,0,2,False,Premium,0.05,0,1,0,0,575.19,575.1899999999999
1920,191,5,1,80.55,42.0,2,4,3,6,0,9,6,1,1,0,False,Regular,0.02,0,0,0,0,80.55,80.55
1459,1293,21,3,523.14,47.0,0,1,1,4,2,6,4,2,0,2,False,Premium,0.05,0,1,0,0,1569.42,1569.42
1654,1363,39,4,155.54,58.0,0,3,2,6,0,12,6,1,0,3,False,Premium,0.05,0,0,0,1,622.16,622.16
862,1263,14,2,683.17,42.0,0,2,2,9,3,10,5,0,0,0,False,Premium,0.02,0,0,1,0,1366.34,1366.34
1223,410,24,4,634.25,29.0,0,3,0,6,0,10,2,0,0,0,False,Regular,0.05,0,0,0,1,2537.0,2537.0
1288,613,49,2,665.49,61.0,1,1,1,3,1,12,1,0,0,3,False,Regular,0.02,0,1,0,0,1330.98,1330.98
